"","Var1","Var2","value"
"857","GarageCars","BsmtHalfBath",-0.02
"858","GarageArea","BsmtHalfBath",-0.02
"859","OverallQual","BsmtHalfBath",-0.04
"860","SalePrice","BsmtHalfBath",-0.02
"861","MoSold","BsmtHalfBath",0.03
"862","BsmtUnfSF","BsmtHalfBath",-0.1
"863","OpenPorchSF","BsmtHalfBath",-0.03
"864","PoolArea","BsmtHalfBath",0.02
"865","BsmtFinSF1","BsmtHalfBath",0.07
"866","BsmtFullBath","BsmtHalfBath",-0.15
"867","LotArea","BsmtHalfBath",0.05
"868","Fireplaces","BsmtHalfBath",0.03
"869","MiscVal","BsmtHalfBath",-0.01
"870","HalfBath","BsmtHalfBath",-0.01
"871","BedroomAbvGr","BsmtHalfBath",0.05
"872","X2ndFlrSF","BsmtHalfBath",-0.02
"873","GrLivArea","BsmtHalfBath",-0.02
"874","TotRmsAbvGrd","BsmtHalfBath",-0.02
"875","OverallCond","BsmtHalfBath",0.12
"876","BsmtHalfBath","BsmtHalfBath",1
"885","WoodDeckSF","BsmtFinSF2",0.07
"886","FullBath","BsmtFinSF2",-0.08
"887","YearBuilt","BsmtFinSF2",-0.05
"888","YearRemodAdd","BsmtFinSF2",-0.07
"889","TotalBsmtSF","BsmtFinSF2",0.1
"890","X1stFlrSF","BsmtFinSF2",0.1
"891","GarageCars","BsmtFinSF2",-0.04
"892","GarageArea","BsmtFinSF2",-0.02
"893","OverallQual","BsmtFinSF2",-0.06
"894","SalePrice","BsmtFinSF2",-0.01
"895","MoSold","BsmtFinSF2",-0.02
"896","BsmtUnfSF","BsmtFinSF2",-0.21
"897","OpenPorchSF","BsmtFinSF2",0
"898","PoolArea","BsmtFinSF2",0.04
"899","BsmtFinSF1","BsmtFinSF2",-0.05
"900","BsmtFullBath","BsmtFinSF2",0.16
"901","LotArea","BsmtFinSF2",0.11
"902","Fireplaces","BsmtFinSF2",0.05
"903","MiscVal","BsmtFinSF2",0
"904","HalfBath","BsmtFinSF2",-0.03
"905","BedroomAbvGr","BsmtFinSF2",-0.02
"906","X2ndFlrSF","BsmtFinSF2",-0.1
"907","GrLivArea","BsmtFinSF2",-0.01
"908","TotRmsAbvGrd","BsmtFinSF2",-0.04
"909","OverallCond","BsmtFinSF2",0.04
"910","BsmtHalfBath","BsmtFinSF2",0.07
"911","BsmtFinSF2","BsmtFinSF2",1
"919","WoodDeckSF","ScreenPorch",-0.07
"920","FullBath","ScreenPorch",-0.01
"921","YearBuilt","ScreenPorch",-0.05
"922","YearRemodAdd","ScreenPorch",-0.04
"923","TotalBsmtSF","ScreenPorch",0.08
"924","X1stFlrSF","ScreenPorch",0.09
"925","GarageCars","ScreenPorch",0.05
"926","GarageArea","ScreenPorch",0.05
"927","OverallQual","ScreenPorch",0.06
"928","SalePrice","ScreenPorch",0.11
"929","MoSold","ScreenPorch",0.02
"930","BsmtUnfSF","ScreenPorch",-0.01
"931","OpenPorchSF","ScreenPorch",0.07
"932","PoolArea","ScreenPorch",0.05
"933","BsmtFinSF1","ScreenPorch",0.06
"934","BsmtFullBath","ScreenPorch",0.02
"935","LotArea","ScreenPorch",0.04
"936","Fireplaces","ScreenPorch",0.18
"937","MiscVal","ScreenPorch",0.03
"938","HalfBath","ScreenPorch",0.07
"939","BedroomAbvGr","ScreenPorch",0.04
"940","X2ndFlrSF","ScreenPorch",0.04
"941","GrLivArea","ScreenPorch",0.1
"942","TotRmsAbvGrd","ScreenPorch",0.06
"943","OverallCond","ScreenPorch",0.05
"944","BsmtHalfBath","ScreenPorch",0.03
"945","BsmtFinSF2","ScreenPorch",0.09
"946","ScreenPorch","ScreenPorch",1
"953","WoodDeckSF","X3SsnPorch",-0.03
"954","FullBath","X3SsnPorch",0.04
"955","YearBuilt","X3SsnPorch",0.03
"956","YearRemodAdd","X3SsnPorch",0.05
"957","TotalBsmtSF","X3SsnPorch",0.04
"958","X1stFlrSF","X3SsnPorch",0.06
"959","GarageCars","X3SsnPorch",0.04
"960","GarageArea","X3SsnPorch",0.04
"961","OverallQual","X3SsnPorch",0.03
"962","SalePrice","X3SsnPorch",0.04
"963","MoSold","X3SsnPorch",0.03
"964","BsmtUnfSF","X3SsnPorch",0.02
"965","OpenPorchSF","X3SsnPorch",-0.01
"966","PoolArea","X3SsnPorch",-0.01
"967","BsmtFinSF1","X3SsnPorch",0.03
"968","BsmtFullBath","X3SsnPorch",0
"969","LotArea","X3SsnPorch",0.02
"970","Fireplaces","X3SsnPorch",0.01
"971","MiscVal","X3SsnPorch",0
"972","HalfBath","X3SsnPorch",0
"973","BedroomAbvGr","X3SsnPorch",-0.02
"974","X2ndFlrSF","X3SsnPorch",-0.02
"975","GrLivArea","X3SsnPorch",0.02
"976","TotRmsAbvGrd","X3SsnPorch",-0.01
"977","OverallCond","X3SsnPorch",0.03
"978","BsmtHalfBath","X3SsnPorch",0.04
"979","BsmtFinSF2","X3SsnPorch",-0.03
"980","ScreenPorch","X3SsnPorch",-0.03
"981","X3SsnPorch","X3SsnPorch",1
"987","WoodDeckSF","YrSold",0.02
"988","FullBath","YrSold",-0.02
"989","YearBuilt","YrSold",-0.01
"990","YearRemodAdd","YrSold",0.04
"991","TotalBsmtSF","YrSold",-0.01
"992","X1stFlrSF","YrSold",-0.01
"993","GarageCars","YrSold",-0.04
"994","GarageArea","YrSold",-0.03
"995","OverallQual","YrSold",-0.03
"996","SalePrice","YrSold",-0.03
"997","MoSold","YrSold",-0.15
"998","BsmtUnfSF","YrSold",-0.04
"999","OpenPorchSF","YrSold",-0.06
"1000","PoolArea","YrSold",-0.06
"1001","BsmtFinSF1","YrSold",0.01
"1002","BsmtFullBath","YrSold",0.07
"1003","LotArea","YrSold",-0.01
"1004","Fireplaces","YrSold",-0.02
"1005","MiscVal","YrSold",0
"1006","HalfBath","YrSold",-0.01
"1007","BedroomAbvGr","YrSold",-0.04
"1008","X2ndFlrSF","YrSold",-0.03
"1009","GrLivArea","YrSold",-0.04
"1010","TotRmsAbvGrd","YrSold",-0.03
"1011","OverallCond","YrSold",0.04
"1012","BsmtHalfBath","YrSold",-0.05
"1013","BsmtFinSF2","YrSold",0.03
"1014","ScreenPorch","YrSold",0.01
"1015","X3SsnPorch","YrSold",0.02
"1016","YrSold","YrSold",1
"1021","WoodDeckSF","MSSubClass",-0.01
"1022","FullBath","MSSubClass",0.13
"1023","YearBuilt","MSSubClass",0.03
"1024","YearRemodAdd","MSSubClass",0.04
"1025","TotalBsmtSF","MSSubClass",-0.24
"1026","X1stFlrSF","MSSubClass",-0.25
"1027","GarageCars","MSSubClass",-0.04
"1028","GarageArea","MSSubClass",-0.1
"1029","OverallQual","MSSubClass",0.03
"1030","SalePrice","MSSubClass",-0.08
"1031","MoSold","MSSubClass",-0.01
"1032","BsmtUnfSF","MSSubClass",-0.14
"1033","OpenPorchSF","MSSubClass",-0.01
"1034","PoolArea","MSSubClass",0.01
"1035","BsmtFinSF1","MSSubClass",-0.07
"1036","BsmtFullBath","MSSubClass",0
"1037","LotArea","MSSubClass",-0.14
"1038","Fireplaces","MSSubClass",-0.05
"1039","MiscVal","MSSubClass",-0.01
"1040","HalfBath","MSSubClass",0.18
"1041","BedroomAbvGr","MSSubClass",-0.02
"1042","X2ndFlrSF","MSSubClass",0.31
"1043","GrLivArea","MSSubClass",0.07
"1044","TotRmsAbvGrd","MSSubClass",0.04
"1045","OverallCond","MSSubClass",-0.06
"1046","BsmtHalfBath","MSSubClass",0
"1047","BsmtFinSF2","MSSubClass",-0.07
"1048","ScreenPorch","MSSubClass",-0.03
"1049","X3SsnPorch","MSSubClass",-0.04
"1050","YrSold","MSSubClass",-0.02
"1051","MSSubClass","MSSubClass",1
"1055","WoodDeckSF","KitchenAbvGr",-0.09
"1056","FullBath","KitchenAbvGr",0.13
"1057","YearBuilt","KitchenAbvGr",-0.17
"1058","YearRemodAdd","KitchenAbvGr",-0.15
"1059","TotalBsmtSF","KitchenAbvGr",-0.07
"1060","X1stFlrSF","KitchenAbvGr",0.07
"1061","GarageCars","KitchenAbvGr",-0.05
"1062","GarageArea","KitchenAbvGr",-0.06
"1063","OverallQual","KitchenAbvGr",-0.18
"1064","SalePrice","KitchenAbvGr",-0.14
"1065","MoSold","KitchenAbvGr",0.03
"1066","BsmtUnfSF","KitchenAbvGr",0.03
"1067","OpenPorchSF","KitchenAbvGr",-0.07
"1068","PoolArea","KitchenAbvGr",-0.01
"1069","BsmtFinSF1","KitchenAbvGr",-0.08
"1070","BsmtFullBath","KitchenAbvGr",-0.04
"1071","LotArea","KitchenAbvGr",-0.02
"1072","Fireplaces","KitchenAbvGr",-0.12
"1073","MiscVal","KitchenAbvGr",0.06
"1074","HalfBath","KitchenAbvGr",-0.07
"1075","BedroomAbvGr","KitchenAbvGr",0.2
"1076","X2ndFlrSF","KitchenAbvGr",0.06
"1077","GrLivArea","KitchenAbvGr",0.1
"1078","TotRmsAbvGrd","KitchenAbvGr",0.26
"1079","OverallCond","KitchenAbvGr",-0.09
"1080","BsmtHalfBath","KitchenAbvGr",-0.04
"1081","BsmtFinSF2","KitchenAbvGr",-0.04
"1082","ScreenPorch","KitchenAbvGr",-0.05
"1083","X3SsnPorch","KitchenAbvGr",-0.02
"1084","YrSold","KitchenAbvGr",0.03
"1085","MSSubClass","KitchenAbvGr",0.28
"1086","KitchenAbvGr","KitchenAbvGr",1
"1089","WoodDeckSF","LowQualFinSF",-0.03
"1090","FullBath","LowQualFinSF",0
"1091","YearBuilt","LowQualFinSF",-0.18
"1092","YearRemodAdd","LowQualFinSF",-0.06
"1093","TotalBsmtSF","LowQualFinSF",-0.03
"1094","X1stFlrSF","LowQualFinSF",-0.01
"1095","GarageCars","LowQualFinSF",-0.09
"1096","GarageArea","LowQualFinSF",-0.07
"1097","OverallQual","LowQualFinSF",-0.03
"1098","SalePrice","LowQualFinSF",-0.03
"1099","MoSold","LowQualFinSF",-0.02
"1100","BsmtUnfSF","LowQualFinSF",0.03
"1101","OpenPorchSF","LowQualFinSF",0.02
"1102","PoolArea","LowQualFinSF",0.06
"1103","BsmtFinSF1","LowQualFinSF",-0.06
"1104","BsmtFullBath","LowQualFinSF",-0.05
"1105","LotArea","LowQualFinSF",0
"1106","Fireplaces","LowQualFinSF",-0.02
"1107","MiscVal","LowQualFinSF",0
"1108","HalfBath","LowQualFinSF",-0.03
"1109","BedroomAbvGr","LowQualFinSF",0.11
"1110","X2ndFlrSF","LowQualFinSF",0.06
"1111","GrLivArea","LowQualFinSF",0.13
"1112","TotRmsAbvGrd","LowQualFinSF",0.13
"1113","OverallCond","LowQualFinSF",0.03
"1114","BsmtHalfBath","LowQualFinSF",-0.01
"1115","BsmtFinSF2","LowQualFinSF",0.01
"1116","ScreenPorch","LowQualFinSF",0.03
"1117","X3SsnPorch","LowQualFinSF",0
"1118","YrSold","LowQualFinSF",-0.03
"1119","MSSubClass","LowQualFinSF",0.05
"1120","KitchenAbvGr","LowQualFinSF",0.01
"1121","LowQualFinSF","LowQualFinSF",1
"1123","WoodDeckSF","EnclosedPorch",-0.13
"1124","FullBath","EnclosedPorch",-0.12
"1125","YearBuilt","EnclosedPorch",-0.39
"1126","YearRemodAdd","EnclosedPorch",-0.19
"1127","TotalBsmtSF","EnclosedPorch",-0.1
"1128","X1stFlrSF","EnclosedPorch",-0.07
"1129","GarageCars","EnclosedPorch",-0.15
"1130","GarageArea","EnclosedPorch",-0.12
"1131","OverallQual","EnclosedPorch",-0.11
"1132","SalePrice","EnclosedPorch",-0.13
"1133","MoSold","EnclosedPorch",-0.03
"1134","BsmtUnfSF","EnclosedPorch",0
"1135","OpenPorchSF","EnclosedPorch",-0.09
"1136","PoolArea","EnclosedPorch",0.05
"1137","BsmtFinSF1","EnclosedPorch",-0.1
"1138","BsmtFullBath","EnclosedPorch",-0.05
"1139","LotArea","EnclosedPorch",-0.02
"1140","Fireplaces","EnclosedPorch",-0.02
"1141","MiscVal","EnclosedPorch",0.02
"1142","HalfBath","EnclosedPorch",-0.1
"1143","BedroomAbvGr","EnclosedPorch",0.04
"1144","X2ndFlrSF","EnclosedPorch",0.06
"1145","GrLivArea","EnclosedPorch",0.01
"1146","TotRmsAbvGrd","EnclosedPorch",0
"1147","OverallCond","EnclosedPorch",0.07
"1148","BsmtHalfBath","EnclosedPorch",-0.01
"1149","BsmtFinSF2","EnclosedPorch",0.04
"1150","ScreenPorch","EnclosedPorch",-0.08
"1151","X3SsnPorch","EnclosedPorch",-0.04
"1152","YrSold","EnclosedPorch",-0.01
"1153","MSSubClass","EnclosedPorch",-0.01
"1154","KitchenAbvGr","EnclosedPorch",0.04
"1155","LowQualFinSF","EnclosedPorch",0.06
"1156","EnclosedPorch","EnclosedPorch",1
